granularity,eval_set,model,accuracy,macro_f1
fine,exo_val,rule,0.7949,0.7938
fine,exo_val,logreg,0.7931,0.7926
fine,exo_val,rf,0.7879,0.7873
fine,exo_val,lstm,0.7993,0.7988
fine,exo_val,gru,0.7938,0.7944
fine,exo_val,cnn,0.7949,0.7932
fine,endo_nonoise,rule,0.4354,0.4212
fine,endo_nonoise,logreg,0.4301,0.4328
fine,endo_nonoise,rf,0.4308,0.4367
fine,endo_nonoise,lstm,0.4363,0.4383
fine,endo_nonoise,gru,0.432,0.4487
fine,endo_nonoise,cnn,0.4378,0.439
fine,endo_noise005,rule,0.5619,0.5521
fine,endo_noise005,logreg,0.5651,0.5636
fine,endo_noise005,rf,0.5584,0.5619
fine,endo_noise005,lstm,0.5679,0.5631
fine,endo_noise005,gru,0.559,0.5593
fine,endo_noise005,cnn,0.564,0.5631
coarse,exo_val,rule,0.8859,0.8924
coarse,exo_val,logreg,0.8941,0.8996
coarse,exo_val,rf,0.8869,0.8913
coarse,exo_val,lstm,0.8971,0.9024
coarse,exo_val,gru,0.8963,0.9018
coarse,exo_val,cnn,0.8931,0.8982
coarse,endo_nonoise,rule,0.5907,0.6101
coarse,endo_nonoise,logreg,0.5949,0.6435
coarse,endo_nonoise,rf,0.5919,0.6137
coarse,endo_nonoise,lstm,0.5834,0.6321
coarse,endo_nonoise,gru,0.588,0.6123
coarse,endo_nonoise,cnn,0.5945,0.6249
coarse,endo_noise005,rule,0.7271,0.7393
coarse,endo_noise005,logreg,0.7311,0.7526
coarse,endo_noise005,rf,0.7223,0.7346
coarse,endo_noise005,lstm,0.7248,0.7441
coarse,endo_noise005,gru,0.7313,0.746
coarse,endo_noise005,cnn,0.7323,0.746
